TYPE_NAME=report_template;KEYS=name;;
name;description;constructor;type
file-verification-sheet;Лист-заверитель дела;jasper;table
file-documents-internal-inventory;Внутренняя опись документов дела;jasper;table
changes-ndp;Изменения к номенклатуре дел подразделения;jasper;table
file-title-page;Титульный лист Дела;jasper;table
org-register-with-one-approval-mark;Номенклатура дел организации с одной отметкой согласования (ЭК);jasper;table
org-register-with-two-approval-marks;Номенклатура дел организации с двумя отметками согласования (ЭК и ЭПК);jasper;table
unit-register;Номенклатура дел подразделения;jasper;table
unit-register-final-note;Итоговая запись к Номенклатуре дел подразделения;jasper;table
unload-frfile-from-ndp-to-xlsx;Выгрузка дел НДП в xlsx;jasper;table
change-for-ndo;Изменения к сводной номенклатуре дел;jasper;table
extract-from-ndo-main;Выписка из сводной Номенклатуры дел;jasper;table
final-record-to-ndo;Итоговая запись к сводной номенклатуре дел;jasper;table
internal-document-card;Печатная карточка внутреннего документа
input-document-card;Печатная карточка входящего документа
input-document-list;Список входящих документов
expired-resolutions;Перечень просроченных контрольных поручений
reg_of_citizens;Реестр обращений граждан, поступивших за период
standart-form;Стандартная форма
unexecuted-control-documents;Перечень документов с неисполненными контрольными резолюциями
contract-journal;Журнал договоров
report-results-search;Отчет по результатам поиска
print-res-on-blank;Печать резолюции по бланку
print-res-on-form;Печать резолюции по форме
executive-discipline;Анализ исполнительской дисциплины
ord-journal;Журнал учета ОРД
resolutions-on-control;Перечень заданий, стоящих на контроле
execution-documents-list;Перечень контрольных входящих документов, находящихся на исполнении
internal-correspondence-book;Журнал учета внутренней переписки
unexecuted-control-resolutions;Сводка неисполненных контрольных поручений
outgoing-correspondence-book;Журнал учета исходящей корреспонденции
ord-list;Список ОРД
list-of-outgoing-corresp;Список исходящей корреспонденции
input-documents-period;Журнал входящих документов
list-of-incom-docs;Список входящих документов
resolution;Резолюция
inputPrintForm;Печатная форма
internPrintForm;Печатная форма
dogPrintForm;Печатная форма
outputPrintForm;Печатная форма
ordPrintForm;Печатная форма
ordBlankPrintForm;Печать РКК ОРД по бланку (новая)
requestPrintForm;Печатная форма
addAgrPrintForm;Печатная форма
dogDocPrintForm;Печатная форма
finDocPrintForm;Печатная форма
request-review-results;Отчёт по результатам рассмотрения ОГ
output-rkk-barcode;Штрихкод для Исх. РКК
acts-number-dynamic;Количество правовых актов(динамика)
input-rkk-barcode;Штрихкод для Вх. РКК
internal-rkk-barcode;Штрихкод для Вн. РКК
ord-rkk-barcode;Штрихкод для ОРД РКК
request-rkk-barcode;Штрихкод для ОГ РКК
contract-rkk-barcode;Штрихкод для Договор РКК
execution-input;Отчёт по исполнению Входящих документов
execution-internal-ord;Отчет по исполнению внутренних и распорядительных документов
execution-input-new;Отчёт по исполнению Входящих документов (Новый)
execution-internal-ord-new;Отчет по исполнению внутренних и распорядительных документов (Новый)
acts-number-dynamic-volume;Количество правовых актов(объём)
print-res-template-on-form;Печать проекта резолюции по форме
graphic-resolution-typical;Подложка для графической резолюции
iDocsStorageResolutionMSO;Подложка для графической резолюции (расш)
reg-docs-count-cert;Справка по количеству зарегистрированных документов
visa-report;Отчёт по согласованию документов
printFormsBullet;Результат голосования
printFormsPoint;Вопрос
printFormsExtract;Выписка
printFormsAgenda;Повестка
printFormsMinutes;Протокол
printFormsDecisionProject;Проект решения
printFormsDecision;Решение
apr-list;Лист результатов согласования без WF
apr-all-list;Сводный лист результатов согласования без WF
rev-list;Лист результатов ознакомления без WF
print-stamp-lable;Печать штампа - наклейка
print-stamp-left;Печать штампа - левый
print-stamp-right;Печать штампа - правый
print-res-on-blank-req;Печать резолюции ОГ по бланку
document-approval-report;Отчет по согласованию документов
inventory-files-list-doc;Перечень документов в деле (Doc)
inventory-files-list-excel;Перечень документов в деле (Excel)
output-registry;Реестр исходящих
apr-list-meetings;Лист согласования по модулю Заседания
apr-all-list-meetings;Сводный лист результатов согласования по модулю Заседания
print-notices-docx;Печать уведомлений и задач (DOCX)
print-notices-xlsx;Печать уведомлений и задач (XLSX)
apr-comments-reg-list;Лист учета замечаний
print-view-form;Печать представления;jasper
print-search-result-form;Печать результатов поиска;jasper
printable-resolution;Печатная форма поручения/резолюции;jasper
unexecuted-control-documents;Перечень документов с неисполненными контрольными резолюциями
